ID,NAME,TIME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,scenario,theme
0,<Adrien-Harceleur>,[2:41:37 PM],WESH silvia pk tu vien et tu fou la merde dans les couple,bully,OAG,victim,OTH,AIN,NULL,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
1,<Théo-Soutien-Harceleur>,[2:42:10 PM],grave tu viens et tu pécho d'autre gars,bully_support,OAG,victim,DNG,AIN,AIN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
2,<Silvia-Victime>,[2:42:12 PM],tu parle de quoi c'est lucas qui a foutu la merde,victim,NAG,NULL,NULL,CNS,AIN,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
3,<Théo-Soutien-Harceleur>,[2:42:56 PM],vas y t'es tellement une pute que tu irai draguer meme les mecs de tes copines,bully_support,OAG,victim,DNG,ATK,CNS,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
4,<Silvia-Victime>,[2:43:34 PM],nan mais les gars calmez vous quoi si lucas c'est lui la pute j'y peu rien,victim,OAG,NULL,NCG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
5,<Théo-Soutien-Harceleur>,[2:44:40 PM],Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,bully_support,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
6,<Silvia-Victime>,[2:45:34 PM],Lucas il ma di qu'il voulait pas rester avecc sophie,victim,NAG,NULL,NULL,CNS,ATK,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
7,<Théo-Soutien-Harceleur>,[2:45:51 PM],mon cul:@,bully_support,OAG,victim,OTH,ATK,CNS,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
8,<Camille-Soutien-Harceleur>,[2:46:06 PM],aller niquez vos mere,bully_support,OAG,victim,OTH,ATK,CNS,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
9,<Soan-Soutien-Victime>,[2:46:15 PM],toi nike ta mere sallle pute,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
10,<Adrien-Harceleur>,[2:46:33 PM],lucas etait en couple et toi tu est tjr la tu fou la merde en plus tu savai,bully,OAG,victim,BLM,ATK,CNS,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
11,<Soan-Soutien-Victime>,[2:46:50 PM],laisser silivia tranquille avant je vous encule bande de cave,victim_support,OAG,bully/bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
12,<Camille-Soutien-Harceleur>,[2:47:05 PM],sa ser a rien de le défendre t qune pute assumee suceuse,bully_support,OAG,victim_support,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
13,<Soan-Soutien-Victime>,[2:47:12 PM],et alors lucas il est moche,victim_support,OAG,NULL,DNG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
14,<Adrien-Harceleur>,[2:47:20 PM],tu va rien faire c'est de sa faute,bully,OAG,victim,BLM,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
15,<Soan-Soutien-Victime>,[2:47:27 PM],ta mere la reine des salope,victim_support,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
16,<Silvia-Victime>,[2:47:34 PM],lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche,victim,OAG,NULL,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
